Name,Code,Lat,Long,ImageLink
Speer Chapel,,32.467388,-94.72334,/images/speerchapel.png
Evelyn LeTourneau Hall,ELH,32.468539,-94.725900,/images/elh.png
Tyler Hall,,32.468579,-94.727978,/images/tylerhall.png
South Hall,,32.466586,-94.723943,/images/southhall.png
Pennsylvania Hall,Penn,32.468738,-94.725578,/images/pennhall.png
Davis Hall,,32.467853,-94.72434,/images/davishall.png
Mabee Hall,,32.468901,-94.725879,/images/mabeehall.png
Machine Tool and Design Lab,MTDL,32.465237,-94.725724,/images/machinetoolanddesignlab.png
Business Office,,32.46521,-94.724458,/images/businessoffice.png
International House,,32.468883,-94.724323,/images/i-house.png
AO Society,,32.464685,-94.723879,/images/aosociety.png
KZX Society,,32.464612,-94.723461,/images/kzxsociety.png
LAS Society,LAS,32.464712,-94.72286,/images/lassociety.png
Belcher Center,,32.467717,-94.728975,/images/belcher.png
Solheim Recreation Center,,32.464839,-94.729126,/images/solheim.png
Margaret Estes Library,,32.466441,-94.727516,/images/esteslibrary.png
Kielhorn Materials Joining Lab,KMJL,32.464585,-94.725349,/images/kielhornmaterialsjoininglab.png
University Police,UPD,32.464712,-94.724458,/images/universitypolice.png
Education Building,,32.467419,-94.72801,/images/educationbuilding.png
Information Technology Building,,32.464574,-94.724913,/images/itbuilding.png
Gilbert Hall,,32.467862,-94.725596,/images/gilberthall.png
Longview Hall,LH,32.467663,-94.727333,/images/longviewhall.png
Glaske,GLSK,32.464961,-94.727397,/images/glaske.jpg
Computer Science Projects Lab,CSPL,32.465236,-94.725321,/images/cspl.png
Heath Hardwick Hall,HHH,32.467455,-94.726533,/images/heathhardwickhall.png